video_id,species,count,truth_scope,aggregation_scope,count_definition,event_semantics_status,annotator,version,verified
LV001,Bactrocera dorsalis,132,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV001,Bactrocera correcta,0,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV002,Bactrocera dorsalis,208,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV002,Bactrocera correcta,0,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV003,Bactrocera dorsalis,236,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV003,Bactrocera correcta,0,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV004,Bactrocera dorsalis,244,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV004,Bactrocera correcta,0,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV005,Bactrocera dorsalis,61,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV005,Bactrocera correcta,118,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV006,Bactrocera dorsalis,79,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
LV006,Bactrocera correcta,27,logical_long_video,all_segments,final_bottle_occupancy_after_all_segments,confirmed_by_user,user,1.1,true
